NUM_YEARS_TO_RUN,DISABLE_PATHFINDING,TEST_NAME,IS_SEEDED,SEED,TURN_TIME,DAYS_PER_YEAR,ENABLE_PERSONALITY_TRANSMISSION,AGE_TURN_ADULT,MIN_DEATH_AGE,MAX_DEATH_AGE,MIN_OFFSPRING_AMOUNT,MAX_OFFSPRING_AMOUNT,MIN_FERTILITY_AGE,MAX_FERTILITY_AGE,MIN_FRIENDS,MAX_FRIENDS,PERSONALITY_LENGTH,PERSONALITY_THRESHOLD,MAX_NUMBER_OF_SOCIAL_MEETUPS_PER_WEEK,DAILY_CHANCE_OF_SOCIAL_MEETUP,TIME_AT_WORK_SCHOOL,TIME_AT_HOME,TIME_AT_SOCIAL,MIN_INITIAL_CHILDREN,MAX_INITIAL_CHILDREN,MIN_INITIAL_PARENT_AGE,MAX_INITIAL_PARENT_AGE,MIN_INITIAL_CHILD_AGE,MAX_INITIAL_CHILD_AGE,SELECTED_MAP_INDEX,PERCENT_CHILD_SOCIAL_BUILDINGS,density,avgConnectivity,avgClusteringCoefficient,skewness,avgPathLength,medianPathLength,avgPercentCanReach,maxDepth,avgDepth,num_communities,avg_community_size,max_community_size,min_community_size,percent_nodes_that_can_reach_all_nodes,idealDensity,idealAvgConnectivity,idealAvgClusteringCoefficient,idealSkewness,idealAvgPathLength,idealMedianPathLength,idealAvgPercentCanReach,idealMaxDepth,idealAvgDepth,idealNum_communities,idealAvg_community_size,idealMax_community_size,idealMin_community_size,idealPercent_nodes_that_can_reach_all_nodes,
1,True,Very high personality threshold,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.9,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0,0,0,NaN,NaN,0,0,0,0,0,NaN,-3.402823E+38,3.402823E+38,0,0.0003912363,0.05555556,0,6.392941,1,1,0.0003858025,1,0.02777778,0,NaN,-3.402823E+38,3.402823E+38,0,
1,True,Very big friend range,True,123456789,0,1,False,18,70,100,0,3,20,50,1,15,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.04773083,6.777778,0.4010416,0.3802969,1.616601,2,0.09760801,4,1.958333,9,4.666667,9,3,0,0.103482,14.69444,0.2452588,9.760866,2.580986,3,0.9861111,6,3.972222,3,3.333333,4,3,1,
1,True,Small personality threshold,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.25,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.0420579,5.972222,0.5543982,-0.1754253,1.908046,2,0.1006945,5,2.388889,11,4.181818,6,3,0,0.04949139,7.027778,0.244213,2.69483,4.379695,4,0.9861111,11,8,2,4,5,3,1,
1,True,Smaller personality string,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,10,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.03769841,4.75,0.3541667,0.127366,1.70684,2,0.07495117,4,2.3125,10,4.1,6,3,0,0.05481151,6.90625,0.4296875,6.114533,5.530754,5,0.984375,14,9.9375,5,4.8,5,4,1,
1,True,Personality transmission,True,123456789,0,1,True,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.03697183,5.25,0.4074074,-0.1893886,1.937107,2,0.09201388,5,2.361111,10,4.2,6,3,0,0.04949139,7.027778,0.2083333,3.693598,4.014712,4,0.9178244,9,7.069445,2,3,3,3,0,
1,True,No personality threshold,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.0420579,5.972222,0.5543982,-0.1754253,1.908046,2,0.1006945,5,2.388889,11,4.181818,6,3,0,0.04949139,7.027778,0.244213,2.69483,4.379695,4,0.9861111,11,8,2,4,5,3,1,
1,True,Medium Social Meetup chance,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.5,0,0,0,0,3,20,40,0,17,0,0.2,0.03638498,5.166667,0.3842593,-0.2350239,2.004008,2,0.0962577,5,2.513889,10,4.1,6,3,0,0.04949139,7.027778,0.2395833,5.182032,4.254334,4,0.9457939,11,7.527778,2,4,5,3,0.01388889,
1,True,Massive personality string,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,100,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.03403264,4.424242,0.2752526,-0.2536852,1.858333,2,0.0826446,4,1.954545,9,3.888889,5,3,0,0.05174825,6.727273,0.2474747,7.398621,4.788578,5,0.9848481,13,8.742424,2,5,5,5,1,
1,True,Map 3,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,3,0.2,0.02039627,5.833333,0.3483796,-0.2838507,2.54386,2,0.08521415,7,3.430556,18,4.444445,6,3,0,0.02442696,6.986111,0.2083334,2.880874,5.289614,5,0.9115061,13,9.666667,2,4.5,5,4,0,
1,True,Map 2,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,2,0.2,0.02543679,7.071429,0.3059524,0.3162245,2.900182,3,0.1681634,7,5.035714,4,4,5,3,0,0.02543679,7.071429,0.1934523,0.134344,4.913962,5,0.9292354,11,9.085714,0,NaN,-3.402823E+38,3.402823E+38,0,
1,True,Map 1,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,1,0.2,0.03301887,3.433962,0.2720126,0.573736,1.862944,2,0.07013173,5,1.566038,3,5,5,5,0,0.06785196,7.056604,0.2688679,12.03573,4.110947,4,0.9626207,11,7.867925,2,4,5,3,0.01886792,
1,True,Larger personality string,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,50,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.03686636,4.571429,0.3478836,0.1288132,1.751572,2,0.08012094,4,2.206349,9,4.333333,5,3,0,0.05555556,6.888889,0.2645502,5.850851,3.996995,4,0.9223988,8,7,2,3,3,3,0,
1,True,High social meetup chance,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.75,0,0,0,0,3,20,40,0,17,0,0.2,0.03638498,5.166667,0.3680556,-0.2350239,2.002004,2,0.0962577,5,2.5,10,4.1,6,3,0,0.04949139,7.027778,0.2395833,5.182032,4.254334,4,0.9457939,11,7.527778,2,4,5,3,0.01388889,
1,True,High personality threshold,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.75,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.002738654,0.3888889,0,1.577148,1,1,0.002700618,1,0.1944444,0,NaN,-3.402823E+38,3.402823E+38,0,0.02679969,3.805556,0.1689814,7.69119,5.337314,5,0.3231094,15,6.777778,11,3.363636,4,3,0,
1,True,Guaranteed social meetup chance,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,1,0,0,0,0,3,20,40,0,17,0,0.2,0.03638498,5.166667,0.3680556,-0.2350239,2.002004,2,0.0962577,5,2.5,10,4.1,6,3,0,0.04949139,7.027778,0.2395833,5.182032,4.254334,4,0.9457939,11,7.527778,2,4,5,3,0.01388889,
1,True,Big friend range,True,123456789,0,1,False,18,70,100,0,3,20,50,1,10,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.04518779,6.416667,0.3835648,0.4787463,1.72332,2,0.09760801,5,2.194444,9,4.444445,9,3,0,0.07492175,10.63889,0.2448137,5.336248,3.056534,3,0.9861111,7,4.875,5,5,6,3,1,
1,True,Baseline,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.03638498,5.166667,0.3854167,-0.2047061,1.983968,2,0.0962577,5,2.5,10,4.2,6,3,0,0.04949139,7.027778,0.2395833,5.182032,4.254334,4,0.9457939,11,7.527778,2,4,5,3,0.01388889,
1,True,Allow more friends,True,123456789,0,1,False,18,70,100,0,3,20,50,3,8,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.04381847,6.222222,0.4339617,0.1254712,1.695652,2,0.09760801,4,2.097222,9,4.666667,7,3,0,0.07042254,10,0.2753307,9.154329,3.135687,3,0.9724146,7,5.111111,1,4,4,4,0.01388889,
1,True,Allow less friends,True,123456789,0,1,False,18,70,100,0,3,20,50,1,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02875587,4.083333,0.1909722,0.2680817,2.346154,2,0.09027775,6,2.694444,7,3.428571,5,3,0,0.03579812,5.083333,0.1655093,2.017004,5.638128,5,0.5565199,14,8.513889,4,3.5,5,3,0,
