NUM_YEARS_TO_RUN,DISABLE_PATHFINDING,TEST_NAME,IS_SEEDED,SEED,TURN_TIME,DAYS_PER_YEAR,ENABLE_PERSONALITY_TRANSMISSION,AGE_TURN_ADULT,MIN_DEATH_AGE,MAX_DEATH_AGE,MIN_OFFSPRING_AMOUNT,MAX_OFFSPRING_AMOUNT,MIN_FERTILITY_AGE,MAX_FERTILITY_AGE,MIN_FRIENDS,MAX_FRIENDS,PERSONALITY_LENGTH,PERSONALITY_THRESHOLD,MAX_NUMBER_OF_SOCIAL_MEETUPS_PER_WEEK,DAILY_CHANCE_OF_SOCIAL_MEETUP,TIME_AT_WORK_SCHOOL,TIME_AT_HOME,TIME_AT_SOCIAL,MIN_INITIAL_CHILDREN,MAX_INITIAL_CHILDREN,MIN_INITIAL_PARENT_AGE,MAX_INITIAL_PARENT_AGE,MIN_INITIAL_CHILD_AGE,MAX_INITIAL_CHILD_AGE,SELECTED_MAP_INDEX,PERCENT_CHILD_SOCIAL_BUILDINGS,density,avgConnectivity,avgClusteringCoefficient,skewness,avgPathLength,medianPathLength,avgPercentCanReach,maxDepth,avgDepth,num_communities,avg_community_size,max_community_size,min_community_size,percent_nodes_that_can_reach_all_nodes,idealDensity,idealAvgConnectivity,idealAvgClusteringCoefficient,idealSkewness,idealAvgPathLength,idealMedianPathLength,idealAvgPercentCanReach,idealMaxDepth,idealAvgDepth,idealNum_communities,idealAvg_community_size,idealMax_community_size,idealMin_community_size,idealPercent_nodes_that_can_reach_all_nodes,
500,True,Baseline 500 Years,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02073893,6.263158,0.3547149,0.6184077,5.979291,6,0.3908417,18,10.30263,10,4.1,5,3,0,0.02335308,7.052631,0.3075658,1.961849,5.849768,6,0.9155995,15,10.67105,3,4.666667,5,4,0,
500,True,Baseline 500 Years 1,True,1234567891,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02238806,6,0.3104938,0.4751485,7.778849,7,0.591989,24,13.84444,6,4.5,6,3,0,0.02592593,6.948148,0.3598764,1.995173,6.570234,6,0.8265562,19,12.93333,6,3.833333,5,3,0,
500,True,Baseline 500 Years 4,True,1234567894,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02044885,5.398496,0.2368421,1.080134,7.485742,7,0.5907624,19,11.28571,8,3.75,6,3,0,0.02597403,6.857143,0.2706766,2.525502,5.563204,5,0.8886302,14,10.40602,4,4.5,5,4,0,
500,True,Baseline 500 Years 3,True,1234567893,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02016211,5.64539,0.354019,0.7400109,6.92935,7,0.4428353,21,11.29078,11,3.818182,6,3,0,0.02446808,6.851064,0.3096927,2.800534,5.815835,6,0.8048896,17,9.765958,6,4.5,5,4,0,
500,True,Baseline 500 Years 2,True,1234567892,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02061803,5.77305,0.287234,0.3410901,6.846784,6,0.4848852,22,12.57447,6,3.666667,5,3,0,0.02462006,6.893617,0.2972812,2.961827,6.322493,6,0.8692226,17,12.52482,5,4,5,3,0,
1000,True,Baseline 1000 Years,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02392963,6.078125,0.2910156,0.7135184,6.807936,6,0.539917,23,13.82031,8,3.625,4,3,0,0.02798967,7.109375,0.2871093,3.312823,6.05157,6,0.9077759,18,12.08594,0,NaN,-3.402823E+38,3.402823E+38,0,
1000,True,Baseline 1000 Years 1,True,1234567891,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02294916,6.104477,0.3289801,0.5113572,6.64851,7,0.5776899,16,10.74627,8,3.75,6,3,0,0.0263719,7.014925,0.3240049,2.158287,5.685962,6,0.8283573,13,10.04478,3,4.666667,6,3,0,
1000,True,Baseline 1000 Years 4,True,1234567894,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02342857,5.857143,0.2916667,0.8542038,6.686927,6,0.624906,22,11.86508,4,3.5,4,3,0,0.02736508,6.84127,0.3115079,2.493985,6.357164,6,0.8281675,20,14.28571,1,4,4,4,0,
1000,True,Baseline 1000 Years 3,True,1234567893,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02138702,6.373333,0.3344445,0.6964938,7.57757,7,0.6863993,25,14.36,8,3.75,6,3,0,0.0233557,6.96,0.2933333,1.618635,6.826235,6,0.8744901,19,14.08667,4,5,7,3,0,
1000,True,Baseline 1000 Years 2,True,1234567892,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02179126,6.014389,0.3231415,1.101006,5.478804,5,0.3687177,17,10.2518,8,3.5,5,3,0,0.02580544,7.122302,0.3321342,3.131253,7.001388,6,0.7831888,20,15.05755,6,3.833333,5,3,0,
100,True,Baseline 100 Years,True,123456789,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02065165,5.286822,0.2822998,0.3717351,4.829763,4,0.2132082,17,7.775194,12,3.416667,5,3,0,0.02779797,7.116279,0.2428941,3.959643,5.245613,5,0.931433,11,9.534883,0,NaN,-3.402823E+38,3.402823E+38,0,
100,True,Baseline 100 Years 1,True,1234567891,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.0214876,5.157025,0.2679064,0.916209,8.162985,7,0.3679396,24,13.07438,10,3.8,5,3,0,0.02954545,7.090909,0.268595,3.928954,4.880293,5,0.8855277,12,8.371901,2,4.5,6,3,0,
100,True,Baseline 100 Years 4,True,1234567894,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02113943,4.862069,0.2341954,0.319338,5.610499,5,0.2562425,17,7.336207,6,3.833333,5,3,0,0.03118441,7.172414,0.325431,6.225328,5.682103,6,0.9002684,15,9.879311,4,3.75,5,3,0,
100,True,Baseline 100 Years 3,True,1234567893,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02243536,4.890909,0.2196969,0.2829654,6.596987,6,0.438843,17,9.518182,10,3.7,5,3,0,0.03169308,6.909091,0.2848485,4.118133,5.210682,5,0.9190912,13,9.654546,3,4.666667,5,4,0,
100,True,Baseline 100 Years 2,True,1234567892,0,1,False,18,70,100,0,3,20,50,3,5,20,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.0207989,4.991735,0.2307162,-0.1749652,8.427467,8,0.3357013,27,11.08264,11,3.727273,5,3,0,0.0292011,7.008265,0.2809917,4.432625,5.542391,6,0.9344985,14,9.909091,4,4,5,3,0,
